"tilltalsnamn","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Britta",..,..,12,10,..,..,10,..,18,14,13
"Caisa",..,..,..,..,..,..,..,..,..,..,..
"Cajsa",65,43,42,26,29,35,29,22,22,13,16
"Camilla",14,16,15,11,13,14,..,10,..,..,10
"Carla",13,12,24,15,13,17,16,17,20,21,25
"Carmen",..,10,..,11,..,..,13,10,..,..,12
"Carolina",36,34,40,23,27,21,24,14,14,10,13
"Caroline",63,43,36,41,27,20,30,15,17,12,13
"Carolin",..,..,..,..,..,..,..,..,..,..,..
"Casandra",..,..,..,..,..,..,..,..,..,..,..
"Cassandra",87,64,73,69,64,46,63,48,41,45,28
"Cataleya",..,..,..,..,..,..,..,..,..,..,16
"Cecilia",88,58,79,66,60,55,48,45,44,48,45
"Celia",..,..,..,11,..,..,13,..,16,13,..
"Celina",20,21,21,22,20,16,18,25,31,36,34
"Celine",42,36,42,37,40,56,62,68,70,66,102
"Céline",11,..,..,..,..,..,11,..,21,28,41
"Chanel",..,12,12,13,..,..,19,21,23,22,21
"Chanelle",..,10,..,11,..,21,10,..,14,..,17
"Charlie",..,..,..,..,..,13,29,34,51,62,67
"Charlotta",..,..,..,..,..,..,..,..,..,..,..
"Charlotte",14,14,12,12,..,14,14,13,10,11,10
"Chelsea",..,..,..,..,..,13,..,..,16,11,18
"Chloe",..,..,..,..,16,10,16,24,21,13,23
"Chloé",..,..,..,..,..,13,19,13,26,33,22
"Christina",18,11,18,17,17,14,15,18,13,..,..
"Christine",..,..,..,..,..,..,..,..,..,..,..
"Cindy",..,..,..,12,12,13,16,13,11,12,10
"Clara",351,330,327,302,302,236,253,245,232,265,278
"Claudia",16,19,17,18,13,15,21,20,16,14,18
"Cleo",..,..,..,..,..,17,15,11,17,23,25
"Corinne",..,..,..,..,..,..,..,..,11,..,..
"Cornelia",181,280,262,214,225,234,191,195,180,220,210
"Dagny",..,..,..,..,..,..,..,..,18,18,13
"Dahlia",..,..,..,..,..,13,12,10,18,18,24
"Daisy",..,..,..,10,17,20,14,11,14,27,24
"Dalia",16,14,..,11,11,10,24,18,18,19,27
"Dana",12,..,..,14,12,11,12,11,11,..,11
"Dania",..,13,..,16,19,17,11,22,18,..,17
"Daniela",21,21,25,17,16,17,13,10,12,..,14
"Daniella",49,53,49,46,30,37,38,35,31,29,29
"Daria",..,..,..,..,..,..,..,..,16,..,..
"Dea",..,..,..,..,..,..,..,..,..,..,11
"Deborah",..,..,..,..,..,..,..,..,..,..,..
"Delina",..,..,..,..,..,..,..,..,..,..,18
"Denice",..,12,..,..,..,..,..,..,..,..,..
"Denise",49,37,27,42,25,21,22,21,28,23,22
"Denize",13,10,..,..,..,..,..,..,..,..,..
"Desirée",15,11,..,11,..,12,..,..,..,11,10
"Destiny",..,..,..,..,..,..,14,..,11,..,..
"Diana",49,57,33,51,53,62,42,56,54,43,52
"Dilan",..,..,..,..,..,..,..,..,..,..,..
"Dilara",10,10,15,11,..,..,12,..,..,..,..
"Dima",..,..,..,..,..,15,..,10,..,10,..
"Dina",28,25,24,21,24,12,24,11,16,11,14
"Disa",39,38,46,43,36,38,48,33,40,24,33
"Dixie",..,..,..,..,..,..,..,..,..,..,10
"Donia",..,..,..,..,..,..,..,..,..,..,..
"Donya",..,..,..,..,10,..,..,..,10,..,..
"Doris",..,13,19,25,38,56,52,78,60,69,91
"Ebba",780,773,705,757,624,655,660,683,653,663,603
"Eda",..,..,..,..,10,..,11,..,..,..,..
"Edda ",..,..,..,..,..,..,12,..,17,33,73
"Eden ",..,..,..,..,11,10,13,..,12,12,..
"Edessa ",..,..,..,..,..,..,..,10,10,..,..
"Edith",42,44,71,117,127,165,206,194,246,243,231
"Edit",21,37,35,35,40,46,42,54,36,34,46
"Eija",..,..,..,..,..,..,..,..,..,..,12
"Eila",..,..,..,..,12,13,15,12,17,11,15
"Eira",28,14,21,22,51,47,44,53,58,54,59
"Ela ",..,..,..,11,22,13,14,18,16,10,22
"Eldana",..,..,..,..,..,..,..,..,..,11,..
"Eleanor ",..,..,..,..,..,..,13,10,11,13,17
"Elena",11,21,18,19,18,22,28,25,30,34,33
"Eleonora",..,21,19,10,14,16,23,28,29,23,32
"Eleonor ",..,..,..,..,..,..,11,..,..,..,..
"Eliana ",..,..,..,..,11,..,11,12,12,22,17
"Elice",..,..,..,..,..,..,..,..,..,..,10
"Elicia ",15,12,20,17,23,24,21,20,28,28,41
"Elif",..,..,..,23,12,17,..,13,15,32,36
"Elina",171,217,199,182,166,164,160,164,151,161,139
"Eline",..,..,..,..,..,..,..,12,..,15,..
"Elin",980,869,758,741,623,566,563,498,374,351,313
"Elinor",10,..,15,..,..,..,..,10,..,10,..
"Elisabeth",24,22,25,25,28,25,26,26,36,32,33
"Elisabet",10,..,..,..,..,..,..,..,..,..,..
"Elisa",26,31,35,34,32,35,43,43,60,50,73
"Elise",95,90,97,92,108,153,146,160,212,229,303
"Elisia ",..,..,..,..,10,10,11,14,19,17,20
"Elissa ",..,11,..,14,18,..,14,15,20,18,21
"Elizabeth",..,..,..,..,..,12,..,20,10,11,12
"Eliza",..,11,11,16,14,13,21,23,21,16,35
"Elize",..,..,..,..,..,..,..,10,..,13,14
"Ella",776,801,759,845,773,796,720,693,664,688,552
"Elle",..,13,10,13,..,17,21,30,28,26,32
"Ellen",549,498,506,523,477,492,544,502,517,498,515
"Ellie",38,38,50,74,98,132,240,276,305,298,362
"Elli",..,..,14,18,18,18,27,26,32,35,42
"Ellinore",..,..,..,..,..,..,..,..,11,13,15
"Ellinor",65,65,84,56,64,66,71,72,61,74,80
"Elly",11,16,18,16,30,38,57,34,39,39,58
"Elma",40,51,60,64,68,66,83,76,57,61,57
"Elmedina",..,..,..,..,..,..,10,..,..,..,..
"Elna",29,11,19,35,29,28,25,38,34,31,32
"Elona",..,..,..,..,..,..,..,..,10,..,..
"Elsa",619,602,624,722,772,768,719,716,750,762,841
"Elsie ",..,..,..,11,..,18,32,35,56,62,81
"Elva ",..,..,..,..,..,..,..,10,..,..,..
"Elvina ",..,..,14,12,..,17,13,21,..,..,12
"Elvira",223,237,256,336,364,349,399,350,325,322,375
"Elwira",..,..,12,14,11,14,12,16,20,18,22
"Ema",..,..,..,..,..,10,10,..,10,..,..
"Embla",49,51,71,75,67,71,57,50,48,34,39
"Emelia",..,..,14,10,11,..,14,..,10,..,..
"Emelie",403,343,327,274,262,245,194,171,160,133,136
"Emeli",..,10,..,10,..,..,..,..,..,..,..
"Emely",..,..,..,..,..,..,..,..,..,..,..
"Emilia",565,553,630,580,520,542,517,499,471,478,419
"Emilie",17,17,19,18,19,14,..,15,14,..,12
"Emilija",..,..,..,..,..,11,..,10,..,..,14
"Emily",43,43,43,44,47,49,41,46,51,51,60
"Emina",19,18,14,29,30,16,15,20,15,19,13
"Emma",1260,1103,1014,831,818,787,712,635,619,559,448
"Emmelie",..,10,..,..,..,..,..,..,..,..,..
"Emmie",74,69,57,62,64,58,68,61,43,34,46
"Emmi",20,11,21,22,17,16,19,25,16,18,21
"Emmy",143,144,131,124,118,119,116,105,102,99,106
"Emy",12,11,17,..,..,..,..,..,11,10,..
"Engla",105,147,209,224,169,44,40,51,37,26,16
"Enja",..,..,..,..,..,..,..,..,11,..,12
"Enna",..,..,..,..,..,..,..,..,..,..,12
"Enya",21,25,28,42,43,63,84,62,50,62,78
"Erica",53,29,31,22,20,16,..,..,..,..,..
"Erika",47,45,29,25,31,31,21,20,10,24,13
"Erina ",..,..,..,..,..,..,11,10,12,..,..
"Erna",12,..,10,10,..,..,..,..,..,..,..
"Erza",..,..,..,19,..,..,..,..,..,..,..
"Esma ",..,..,..,..,18,11,..,12,12,16,12
"Esmeralda",20,10,22,38,30,36,28,36,31,34,26
"Esra",11,..,..,..,..,..,..,..,..,..,..
"Estelle",29,39,39,33,41,38,53,64,55,33,45
"Ester",101,142,152,193,198,241,236,223,249,258,241
"Esther",32,68,79,84,77,87,102,121,130,141,141
"Estrid ",10,..,..,12,15,17,18,18,28,32,38
"Ethel",..,..,..,..,..,..,..,..,..,12,..
"Eva",16,14,23,22,28,36,24,26,31,36,37
"Evangeline",..,..,..,..,..,..,..,..,..,..,11
"Evelina",225,211,210,174,192,176,191,151,117,110,106
"Eveline",..,..,10,..,..,..,..,..,11,11,..
"Evelin",10,..,..,..,12,..,12,..,11,16,..
"Evelyn",11,15,11,11,17,23,28,17,30,31,31
"Evin",..,..,..,10,..,..,11,..,11,10,13
"Evy",..,..,..,..,..,..,..,..,..,..,15
"Faiza",..,..,..,..,..,..,..,..,..,..,11
"Fannie",..,..,..,..,..,..,..,..,..,..,..
"Fanny",216,208,177,165,144,130,116,119,96,83,74
"Farah ",..,..,..,..,..,..,..,..,11,..,..
"Fatima",28,43,44,45,45,64,72,57,73,68,55
"Fatma",10,13,10,13,10,16,15,15,14,17,20
"Felicia",509,531,518,658,452,431,399,372,342,345,346
"Felizia",13,..,15,10,12,12,11,..,..,..,..
"Fia",..,..,13,12,..,..,10,..,..,..,..
"Fideli",..,..,..,..,..,..,..,..,..,..,..
"Filippa",424,526,448,427,339,305,252,259,215,196,171
"Fiona",12,21,14,14,21,13,16,17,19,27,27
"Flora",12,14,25,31,25,32,41,19,41,53,40
"Florence",..,..,..,..,..,..,..,..,..,12,14
"Franka ",..,..,..,..,..,..,..,11,..,..,..
"Fredrica",..,..,..,..,..,..,..,..,..,..,..
"Fredrika",19,17,22,17,12,12,17,10,19,14,11
"Freija ",..,..,..,..,..,..,..,10,..,10,11
"Freja",118,128,254,297,306,271,332,447,418,464,453
"Freya ",..,..,13,19,32,28,39,34,63,61,66
"Freyja ",..,..,..,..,..,..,..,11,10,..,..
"Frida",423,406,320,293,219,199,163,146,128,101,113
"Gabriela ",..,13,10,12,..,20,10,16,12,..,12
"Gabriella",91,89,87,79,78,85,70,70,64,58,58
"Gabrielle",..,..,..,..,..,..,..,..,..,12,..
"Gerda ",..,..,..,..,..,..,..,10,..,..,..
"Gina",..,..,..,13,..,..,..,..,..,..,..
"Gloria",..,..,..,..,..,..,26,18,17,18,19
"Grace",..,..,11,12,10,11,..,12,15,18,10
"Greta",72,88,82,77,95,130,158,137,150,174,181
"Gry",21,15,17,20,29,31,30,39,55,42,40
"Hafsa ",..,..,..,..,..,..,11,..,20,12,17
"Hailey ",..,..,..,13,..,16,19,33,48,70,60
"Hailie ",..,..,..,..,..,..,..,12,..,..,14
"Haley ",..,..,..,11,..,..,18,14,20,14,20
"Halima",..,..,..,..,..,..,..,..,..,12,..
"Hana",13,17,13,..,25,27,21,22,26,20,20
"Hanan",..,..,..,..,..,..,16,11,..,11,11
"Hani",..,..,..,..,..,..,..,..,..,11,..
"Hanin ",..,10,..,..,..,..,..,..,..,..,..
"Hannah",175,138,149,101,104,89,77,65,74,58,55
"Hanna",668,659,556,463,408,355,308,259,217,203,174
"Harriet ",..,..,10,..,14,10,21,23,39,35,24
"Havanna ",..,15,..,17,16,22,27,21,18,18,11
"Havin",..,21,..,11,..,..,..,..,..,12,..
"Haylie",..,..,..,..,..,..,..,13,17,16,24
"Hedda",87,127,93,106,135,130,150,136,133,159,139
"Hedvig",69,61,57,93,108,109,121,125,127,106,103
"Hedwig ",..,..,..,..,..,..,..,..,13,..,..
"Heidi",10,12,13,14,18,14,21,25,18,28,21
"Helena",23,20,20,23,24,29,28,32,24,28,32
"Helen",10,..,..,..,..,..,..,11,..,11,10
"Helga ",..,..,..,..,..,11,..,..,10,..,14
"Helin",17,19,18,22,24,19,26,17,18,24,22
"Henny",..,..,..,..,13,11,13,..,15,13,15
"Henrietta",..,..,..,..,..,..,..,..,..,..,..
"Hiba",..,13,10,10,..,11,12,..,11,13,14
"Hilda",138,149,189,186,169,160,176,153,159,174,172
"Hilde ",..,..,..,..,..,..,..,..,13,..,16
"Hillevi",17,11,18,24,22,17,29,30,27,32,34
"Hilma",67,80,89,95,83,100,114,126,111,146,154
"Hoda",..,..,..,..,..,..,..,..,..,..,..
"Hollie ",..,..,..,..,..,..,..,..,12,12,23
"Holly ",..,..,12,15,27,32,33,51,40,57,64
"Huda ",..,..,..,..,..,..,..,15,10,..,12
"Hulda ",..,..,..,..,..,10,..,..,..,11,..
"Ibtisam",..,..,..,..,..,..,..,..,..,10,13
"Ida",1012,904,849,763,639,574,575,457,452,367,321
"Idun",13,24,36,31,29,37,63,53,74,92,85
"Ilma",..,..,..,11,..,..,..,..,..,..,..
"Ilona",..,..,..,..,..,..,..,12,10,..,..
"Ilse",11,..,..,..,..,..,13,..,..,16,57
"Iman",19,12,14,17,22,14,16,20,23,22,16
"Ina",26,26,21,27,26,21,20,19,11,..,12
"Indra",40,30,31,30,31,21,22,17,14,10,..
"Ines",22,39,57,40,74,93,98,143,135,177,194
"Inez",47,51,82,102,104,131,150,140,123,119,135
"Ingrid",94,96,112,143,172,151,182,205,205,225,220
"Iqra",..,..,..,..,..,..,..,..,..,..,16
"Irem",..,..,..,..,..,..,12,..,..,..,..
"Iris",45,67,87,96,149,156,163,197,187,229,237
"Irma",97,90,106,110,122,111,96,76,89,78,76
"Isabel",72,72,79,67,100,75,94,95,76,112,89
"Isabella",219,219,271,310,311,331,390,337,364,316,261
"Isabelle",242,283,323,293,331,322,310,351,359,299,323
"Isabell",96,110,75,98,111,105,128,112,86,104,67
"Isadora",..,..,..,10,..,10,11,15,16,15,15
"Isa",74,70,73,72,55,76,68,38,57,64,56
"Isis ",..,..,..,..,..,..,11,..,..,..,..
"Isolde",13,16,14,25,31,36,32,38,23,36,28
"Isra",..,..,10,11,10,19,21,14,14,15,25
"Izabel ",..,10,..,..,..,..,..,..,..,..,..
"Izabella",52,65,51,62,74,50,69,44,50,35,40
"Izabelle",42,53,39,38,34,28,33,18,32,25,26
"Izabell",14,14,14,12,12,17,13,12,11,..,16
"Iza",34,30,19,28,19,17,15,14,12,10,15
"Jackie ",..,..,..,..,..,..,..,13,10,11,..
"Jacqueline",13,11,15,17,10,..,20,13,18,17,16
"Jamie",..,..,..,..,..,..,..,..,..,..,10
"Jamila",..,..,..,..,..,..,..,..,..,..,10
"Jana ",..,..,..,10,..,11,16,11,..,17,13
"Janina",..,11,..,..,..,..,..,..,..,..,..
"Jasmina",..,11,10,11,15,21,15,12,15,12,16
"Jasmine",77,82,89,80,85,80,71,72,67,61,70
"Jasmin",48,60,56,38,57,47,47,50,46,39,45
"Jeanette",..,..,..,..,..,..,..,..,..,..,..
"Jenna",17,18,20,14,18,25,31,17,13,20,21
"Jennie",24,33,25,11,11,13,14,..,..,..,..
"Jennifer",239,180,159,119,102,99,87,85,46,66,54
"Jenny",73,68,53,45,35,26,29,22,24,16,16
"Jessica",75,56,68,47,50,39,50,36,51,26,28
"Jessie",..,13,..,..,10,..,..,..,12,..,..
"Jessika",..,..,..,..,..,..,..,..,..,..,..
"Jill",12,13,11,..,..,17,15,..,..,14,12
"Joanna",19,20,18,24,..,..,13,12,13,..,..
"Johanna",283,253,224,165,136,121,93,82,62,59,56
"Jolene ",..,..,..,..,..,13,11,19,16,..,15
"Jolie ",..,..,..,..,..,13,19,18,12,19,21
"Jolina",12,15,17,14,10,15,17,..,..,..,11
"Joline",45,62,54,62,104,138,141,123,136,134,140
"Jolin ",16,11,12,16,14,..,15,11,10,..,..
"Joni ",..,..,..,..,..,11,..,10,22,20,27
"Jonna",142,110,112,73,70,68,55,55,40,43,36
"Josefina",26,10,10,14,..,15,16,..,15,..,11
"Josefine",190,188,115,106,82,79,71,61,50,52,47
"Josefin",149,104,93,80,77,84,58,67,53,49,30
"Josephine",34,37,26,28,25,21,28,30,41,33,31
"Joy ",..,..,..,..,..,..,12,..,11,..,..
"Judith",15,17,21,30,29,37,38,64,38,47,44
"Judit ",..,..,12,20,14,17,17,26,18,26,23
"Julia",945,914,921,816,817,737,820,717,680,682,606
"Julie",20,29,30,39,50,37,56,93,79,89,84
"Juliette",..,..,..,..,12,13,10,10,12,14,15
"Juli",..,..,..,..,..,10,12,16,12,17,18
"Junia ",..,..,13,..,..,11,12,14,10,12,17
"Junie ",..,..,13,11,19,21,32,44,46,56,46
"Juni",23,29,54,34,71,69,98,148,179,197,218
"Juno ",..,..,..,..,..,22,23,34,39,57,46
"Kajsa",184,183,178,135,127,128,97,89,80,69,65
"Karin",66,63,65,57,49,43,45,42,46,36,38
"Karla",..,13,11,10,11,12,..,11,17,14,23
"Karolina",33,35,28,25,23,15,18,12,10,10,14
"Karolin",..,..,..,..,..,..,..,..,..,..,..
"Katarina",22,18,16,22,14,..,11,..,15,..,10
"Katja",16,12,11,13,10,18,..,..,..,..,10
"Kayla ",..,..,..,10,..,..,24,16,11,13,..
"Kellie ",..,..,..,..,..,..,..,..,10,..,10
"Kelly",18,15,21,11,21,16,25,40,37,40,43
"Kendra ",..,..,..,..,..,11,10,..,11,..,10
"Kenza",..,..,..,..,..,..,..,..,..,14,10
"Kerstin",15,26,28,39,49,61,59,70,96,83,90
"Keyla ",..,..,..,..,..,..,..,..,13,14,..
"Khadija",..,..,..,..,..,..,..,10,..,11,11
"Kiara ",..,..,..,10,..,..,..,..,15,14,19
"Kimberly",..,..,13,..,..,11,13,10,..,17,21
"Kim",24,11,..,11,..,..,..,13,..,..,..
"Kira ",..,10,12,20,13,17,20,18,13,17,21
"Kitty ",..,..,..,..,..,11,..,..,..,14,..
"Klara",445,384,420,373,359,357,384,321,343,308,294
"Kornelia",..,..,..,..,..,..,..,..,..,10,11
"Kristina",39,28,25,36,28,16,20,17,14,21,19
"Kristin",12,..,..,..,..,..,..,..,..,..,..
"Laila",..,..,10,10,14,20,11,10,12,15,10
"Lamar ",..,..,..,..,..,..,..,10,16,25,15
"Lamija",..,..,..,..,..,..,..,..,..,10,..
"Lamis",..,..,..,..,10,..,..,..,..,..,..
"Lana",26,22,24,25,38,30,32,46,34,32,51
"Lara",35,49,40,50,57,57,79,56,60,58,64
"Larin",..,..,..,..,..,..,..,..,..,..,12
"Laura",58,51,60,59,91,77,91,103,82,100,113
"Lava ",10,11,15,11,13,..,19,..,10,..,11
"Lavin ",..,..,..,..,..,..,..,14,16,13,14
"Layan",..,..,..,..,..,..,..,..,11,11,15
"Layla ",..,..,..,..,..,..,..,..,11,..,..
"Leah",32,74,84,82,112,109,158,169,169,181,190
"Lea",84,109,114,120,140,151,144,146,167,163,162
"Lee ",..,..,..,..,..,..,12,..,..,11,..
"Leiah ",..,..,..,..,..,..,14,..,..,..,11
"Leia",85,98,129,117,138,173,207,165,159,157,178
"Leija ",..,..,10,..,..,10,31,20,16,16,15
"Leila",16,21,15,23,25,30,38,31,34,40,40
"Leja ",..,..,..,..,..,10,..,..,..,11,..
"Lejla",20,23,22,23,22,24,33,17,21,13,10
"Lena",..,13,13,17,13,25,25,26,31,30,37
"Leona",19,31,30,39,76,95,75,79,67,70,80
"Leonie ",..,..,..,12,..,17,18,16,23,26,22
"Leonora",10,12,15,18,23,16,22,17,14,24,35
"Lexie ",..,..,..,..,..,..,18,16,22,37,32
"Leya ",..,..,11,..,..,..,10,..,21,19,..
"Leyla ",..,..,..,10,..,16,12,16,15,16,10
"Lia",26,29,15,24,24,39,31,41,39,38,49
"Liana",..,..,..,..,..,..,..,13,..,..,16
"Li",16,20,12,11,10,23,31,34,45,35,31
"Lilia",..,..,..,..,..,..,..,..,..,..,12
"Lilian",..,..,..,..,16,14,19,24,21,26,42
"Lilith ",..,..,..,..,..,..,10,..,..,..,..
"Lilja ",17,..,23,34,27,35,34,37,44,46,55
"Lillian ",..,..,..,..,..,..,11,..,..,10,..
"Lillie",..,..,..,..,11,..,16,21,20,12,31
"Lilli",..,..,..,..,..,..,..,..,..,..,10
"Lilly",35,57,90,146,176,231,298,312,307,352,350
"Lilo ",..,..,..,..,..,..,..,14,12,12,16
"Lily ",..,19,26,51,77,112,137,160,181,199,247
"Lina",246,270,212,155,156,160,149,146,134,117,123
"Linda",66,49,44,44,36,31,23,30,24,22,23
"Line",29,33,35,28,18,38,33,33,40,49,36
"Lin",..,..,..,..,..,..,10,12,14,..,16
"Linnea",415,423,428,405,392,400,477,428,355,345,328
"Linnéa",476,446,414,364,320,283,263,287,258,198,262
"Linn",408,314,322,224,220,204,209,167,158,137,147
"Lisa",333,332,298,265,217,196,208,170,183,153,141
"Lisen",16,30,21,26,25,28,25,33,27,24,24
"Liva ",..,..,..,..,14,10,..,10,12,..,..
"Livia",59,58,69,112,118,145,205,197,185,191,204
"Liv",134,150,115,122,178,204,236,242,238,287,254
"Liza",13,13,16,16,14,..,12,..,..,..,..
"Lizette",..,..,..,..,..,..,..,..,..,..,..
"Lo ",16,18,15,20,34,45,63,49,73,77,89
"Lola ",..,..,..,..,..,..,..,14,20,16,17
"Lorena",..,..,..,..,..,..,13,..,16,10,13
